"net1","net2","mean_full","mean_pos","mean_neg","n_edges","subject","condition"
"SomMot","SalVentAttn",0.356614367767062,0.394495063751558,-0.126364506035272,770,"sub-002","PLCB"
"SomMot","Limbic",-0.0920061888429981,0.11412154419711,-0.169726481628613,420,"sub-002","PLCB"
"SomMot","Cont",-0.0605057372661427,0.147227895774727,-0.155296812537219,1050,"sub-002","PLCB"
"SomMot","Default",-0.121468998631731,0.127809157753368,-0.20332766714763,1610,"sub-002","PLCB"
"SomMot","Subcortex",0.0469705910642431,0.139525307907803,-0.106701017186704,1120,"sub-002","PLCB"
"DorsAttn","Vis",0.140909482957255,0.219000993488061,-0.108115667290981,754,"sub-002","PLCB"
"DorsAttn","SomMot",0.359580743572459,0.37792762458845,-0.0614318944786892,910,"sub-002","PLCB"
"DorsAttn","DorsAttn",0.427379837034481,0.44670371892159,-0.076651415520958,325,"sub-002","PLCB"
"DorsAttn","SalVentAttn",0.221049597917097,0.302350684587556,-0.124293550050082,572,"sub-002","PLCB"
"DorsAttn","Limbic",-0.0878369277652897,0.133986341900419,-0.212057958778086,312,"sub-002","PLCB"
"DorsAttn","Cont",0.0573121967646482,0.225231078922719,-0.154411611173788,780,"sub-002","PLCB"
"DorsAttn","Default",-0.143737596137982,0.16155827686968,-0.236624781055253,1196,"sub-002","PLCB"
"DorsAttn","Subcortex",-0.0280692005849011,0.112048036643239,-0.134416110024441,832,"sub-002","PLCB"
"SalVentAttn","Vis",0.10341358383668,0.182620916492882,-0.125514926401367,638,"sub-002","PLCB"
"SalVentAttn","SomMot",0.356614367767062,0.394495063751558,-0.126364506035272,770,"sub-002","PLCB"
"SalVentAttn","DorsAttn",0.221049597917097,0.302350684587556,-0.124293550050082,572,"sub-002","PLCB"
"SalVentAttn","SalVentAttn",0.399545252279068,0.466292504681845,-0.104767321430805,231,"sub-002","PLCB"
"SalVentAttn","Limbic",0.00521411674320519,0.184345416932812,-0.155875181988456,264,"sub-002","PLCB"
"SalVentAttn","Cont",0.0165469998709525,0.228445613358938,-0.171134629218406,660,"sub-002","PLCB"
"SalVentAttn","Default",-0.0934919452994385,0.189512205118049,-0.251103487531947,1012,"sub-002","PLCB"
"SalVentAttn","Subcortex",0.0600670850854024,0.17986774790455,-0.127941254375304,704,"sub-002","PLCB"
"Limbic","Vis",0.0375898167105649,0.136367836029461,-0.114542753189341,348,"sub-002","PLCB"
"Limbic","SomMot",-0.0920061888429981,0.11412154419711,-0.169726481628613,420,"sub-002","PLCB"
"Limbic","DorsAttn",-0.0878369277652897,0.133986341900419,-0.212057958778086,312,"sub-002","PLCB"
"Limbic","SalVentAttn",0.00521411674320519,0.184345416932812,-0.155875181988456,264,"sub-002","PLCB"
"Limbic","Limbic",0.143288330876235,0.308043082116017,-0.164731421441616,66,"sub-002","PLCB"
"Limbic","Cont",-0.0143353609696649,0.176318514278711,-0.172084506479743,360,"sub-002","PLCB"
"Limbic","Default",0.0413639968323366,0.20963777529201,-0.17578598283969,552,"sub-002","PLCB"
"Limbic","Subcortex",0.00804555471708754,0.176962336997669,-0.159120794586493,384,"sub-002","PLCB"
"Cont","Vis",-0.048745610589625,0.120993021108333,-0.147502632668437,870,"sub-002","PLCB"
"Cont","SomMot",-0.0605057372661427,0.147227895774727,-0.155296812537219,1050,"sub-002","PLCB"
"Cont","DorsAttn",0.0573121967646482,0.225231078922718,-0.154411611173788,780,"sub-002","PLCB"
"Cont","SalVentAttn",0.0165469998709525,0.228445613358938,-0.171134629218406,660,"sub-002","PLCB"
"Cont","Limbic",-0.0143353609696649,0.176318514278711,-0.172084506479743,360,"sub-002","PLCB"
"Cont","Cont",0.2491023832819,0.3422077295959,-0.118028925478984,435,"sub-002","PLCB"
"Cont","Default",0.0228078164191223,0.221428468706174,-0.174664739611935,1380,"sub-002","PLCB"
"Cont","Subcortex",0.0446536811709952,0.159145071535274,-0.127083404375423,960,"sub-002","PLCB"
"Default","Vis",-0.0201698051447234,0.178120510865208,-0.170849517574434,1334,"sub-002","PLCB"
"Default","SomMot",-0.121468998631731,0.127809157753368,-0.20332766714763,1610,"sub-002","PLCB"
"Default","DorsAttn",-0.143737596137982,0.16155827686968,-0.236624781055253,1196,"sub-002","PLCB"
"Default","SalVentAttn",-0.0934919452994385,0.189512205118049,-0.251103487531947,1012,"sub-002","PLCB"
"Default","Limbic",0.0413639968323366,0.20963777529201,-0.17578598283969,552,"sub-002","PLCB"
"Default","Cont",0.0228078164191223,0.221428468706174,-0.174664739611935,1380,"sub-002","PLCB"
"Default","Default",0.230236565236482,0.346046973566275,-0.137274690229431,1035,"sub-002","PLCB"
"Default","Subcortex",0.0847559953004356,0.193572266453129,-0.118057210466646,1472,"sub-002","PLCB"
